marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	10916386	R10M1WWDDQBGG2	B00JGCDV5Y	550596607	Diamond Semi Round Quick Release Universal Fit Multi Tool Oscillating Multitool Saw Blade for Craftsman 20v Bolt-on Mm20 Rockwell Hyperlock Shopseies 12v Universal Fit Porter Cable Black and Decker Bosch Dewalt Stanley	Tools	2	0	0	N	Y	I needed to cut some ceramic tile on my bathroom ...	I needed to cut some ceramic tile on my bathroom wall. It didn't seem to be able to go through the tile at all. With a  lot of pressure and a lot of time I finally got the job done.	2015-08-31
US	34071500	RV3KWQBTNIO62	B00N0PS3YM	735538025	It Mall 9 LED 375nm Purple Light Mini Flashlight Torch /Uv Ultra Violet Light	Tools	5	1	1	N	Y	Works pretty well	Lights up small debris on the floor that the naked eye can't see, even when the room is not completely dark. If you miss spots when vacuuming, this flashlight is handy. It's also small enough to pack for traveling and checking hotel rooms for insects.	2015-08-31
US	50594486	R1M7YUNLZI0G9F	B0000DD4KV	506501960	IRWIN Tools Metric Tap and Hex Die Set, 41-Piece (26317)	Tools	5	1	1	N	Y	Five Stars	Great product for the DIYer!<br />Exact same item sold by Snap-on.<br />Good Value and quality.	2015-08-31
US	21945887	R2MTL2D4E4HEF4	B0009H5FB8	268586246	743022-A Backing Pad For Sanders Bo5001, Bo5010, Bo5020 & Bo5021k	Tools	5	0	0	N	Y	Five Stars	Many thanks for this fine product. Works as advertised.	2015-08-31
US	47749608	RXAHWIC1584UQ	B00NKSMPZW	824618679	ClearArmor 141001 Shooters Hearing Protection Safety Ear Muffs Folding-Padded Head Band Ear Cups, Black	Tools	5	20	23	N	Y	Five Stars	geart product :) super comfy I don't know why people complain about it being too tight or not doing the job, unless they are aliens and have egg shaped heads it fits fine i wore it for 4-6 hours and didn't even notice it :), and this is on top of the fact that I wear glasses and I have a larger than average head size, and for sound isolation its wonderful, obviously it doesn't block everything but pretty much everything and lowers the loud annoying noise to that of humming bird wings :) which is nice :) and in most cases I hear nothing or hardly anything at all  I tried them under several conditions, at home I don't hear anything from the street at all, the only thing I hear is my tinitus sadly  :( , outside what ever sounds there are are extremely muffled and very very low and I hear the vibration of my feet touching the ground louder than most other sounds, but that vibration is not a sound, its not hearing the foot steps like a sound traveling into your ear, its having the energy pass through your body kind of like hearing crunchy food, somehow that vibration travels through your body bones and makes it into the ear canal that way, and well if you can hear that over everything else, then the head phones are fantastic, tried them at school, works lovely, tested them with loud speakers and it works great, lowers the loud music very well and I added noise isolation ear plugs and together they are a dynamic duo :) of -60 DB    I heaven't used them for construction work like some reviewers claim and claim it is not satisfactory, how ever I did pass by a construction crew who were tearing up the pavement with jack hammers and hardly noticed it, in fact I kind of panicked  a bit because I wasn't sure how safe it was to come close to them since I could not hear them and I took off the headphones to compare and damn it was pretty loud without them, then on the train I saw a train worker with some massive bulky iso headphones that don't fold, and I was temped to let him know about these but he looked to be in a hurry  IN SUM, THEY'RE GREAT :) GET 2 JUST IN CASE	2015-08-31
US	48880662	RMOIQFERVQDWS	B00RBAB92K	156791442	KKmoon 9cm Mini AAA CREE LED Flashlight Pocket Torch Light 120LM 1 Switch Mode	Tools	5	0	0	N	Y	Five Stars	very good	2015-08-31
US	4660265	R710G45MKODY9	B00QGBNZVI	962324810	Refun E6 High Powered Tactical Led Flashlight, Ultra Bright LED Handheld Flashlight, Portable Outdoor Water Resistant Torch with Adjustable Focus and 5 Light Modes for Camping Hiking etc	Tools	2	1	1	N	Y	Two Stars	Scratches on lenses.	2015-08-31
US	18397238	R23ZIUGUM7TBMY	B00XXU3CDG	543062309	Dr.meter S20 Moisture Sensor Meter, Soil Water Monitor, Hydrometer for Gardening, Farming, Indoor/Outdoor Use (4-in-1 Advanced Version)	Tools	1	0	1	N	Y	Don't waste your time or money with this thing	It's a piece of $#!t<br /> The Ph meter is highly inaccurate.  It gave wildly different readings from the same spot in my potted plants and garden soil. Don't waste your time or money with this thing.	2015-08-31
US	16550751	R2IF94B3Q0G8M7	B006M9NIDO	3303513	Gerber Dime Multi-Tool, Purple [31-002937]	Tools	5	0	0	N	Y	Five Stars	it works great, and compact. Very Nice, I love it.	2015-08-31
US	4963734	R2X8RBH29297K2	B0002KO1XK	18119447	Performance Tool  Performance Tool W5214 Rubber Grommet Assortment, 125-Piece	Tools	1	1	1	N	Y	the quality of materials is just terrible, several times altered because of this	the quality of materials is just terrible, several times altered because of this. and therefore incur losses . do not buy very cheap . rubber deforms in a few days . wears out I'm wasting my time on addressing the gaps and also the customer time .	2015-08-31
US	20967560	R3ERFD8C1DESO9	B001EC3JME	830091486	Nite Ize Clip-On Flashlight Holster with Stretch Capability and 8-Position Rotating Clip - Durable Nylon Flashlight Holster for Belt Attachment with Full 360 Degree Rotation	Tools	5	0	0	N	Y	Excellent Product!	I use this holster for my Nebo 250 Lumens SLYDE LED Flashlight 190 Lumens Work Light. It adjusts fine and it won't slip out that easy. The rotating clip is great because I can aim the light and walk or work hands-free. Great price for a great product.	2015-08-31
US	49773613	R2ZTYQVMFODRKI	B003TU0XFU	268884688	Dremel 7300-N/8 MiniMite 4.8-Volt Cordless Two-Speed Rotary Tool	Tools	5	0	0	N	Y	Works better than expected	Works better than expected!	2015-08-31
US	29327140	R2BIO5UAWH0UF8	B00I04TJIM	98344961	Columbia River Knife and Tool (CRKT) 6481 Pazoda Razor Edge Knife	Tools	4	1	2	N	Y	Great price and great quality	A preferred EDC.  Great price and great quality.  CRKT makes quality knives.	2015-08-31
US	15375432	R36I4QJCD3DMQY	B007RB82CS	532704912	Streamlight 88030 ProTac 1L 275 Lumen Professional Tactical Flashlight with High/Low/Strobe w/ 1 x CR123A Batteries	Tools	5	0	0	N	Y	Five Stars	Careful they get very hot very quickly	2015-08-31
US	42060310	R68L4LBFDU3PZ	B00035I4TQ	839816722	WaterCop Wireless Flood Sensor, 2 Probes (WH200)	Tools	5	0	0	N	N	Five Stars	Easy to work with Home Flood Prevention. Thank you![[ASIN:B00035I4TQ WaterCop Wireless Flood Sensor, 2 Probes (WH200)]]	2015-08-31
US	1153066	RX4SGDGFDB89P	B007WU7VS0	974908768	Milwaukee M18 FUEL 1/4in. Hex Impact Driver- Tool Only, Model# 2653-20	Tools	5	0	0	N	Y	Five Stars	Works great !!!	2015-08-31
US	37950229	R1HFUWMZTMH6AZ	B000NCY3BW	35628650	KP Industries Knee Pro Ultra Flex III Knee Pads	Tools	5	0	0	N	Y	Easy on my knees!	These worked very well for my hardwood floor project. they are comfortable and stay in place. Wore them with both long and short pants.	2015-08-31
US	46827072	RZ40MU2YMUGJ8	B00V02JLLQ	556036183	SOLARAY PRO ZX-1XL Professional Series Flashlight Kit - Our Best and Brightest LED Tactical Flashlight, Extended Run-time, Rechargeable, Ultra Bright, 5 Modes, Zoom Lens and Mini-Pro 1 Zoomable Light	Tools	4	0	1	N	N	Four Stars	I like Solaray so much!	2015-08-31
US	129483	R2CQRUL72HCL5V	B001T7GZQQ	991917217	Streamlight 69220 TLR-3 Weapon Mounted Tactical Light	Tools	5	0	0	N	Y	has withstood holster trauma and wears easily on the Glock	Arrived fast, has withstood holster trauma and wears easily on the Glock 17	2015-08-31
US	17747349	R30ZANODRQL08O	B000X2L0PO	228942675	MXV Pocket Dust Mask 10/Box	Tools	5	0	0	N	Y	Five Stars	Easy to breath through without fogging up my glasses	2015-08-31
US	43708482	R18YOK33LMMIF6	B002ENHNL0	242522707	Bosch 1581AVS Jig Saw Replacement Clamp Screw # 2603400000	Tools	5	0	1	N	Y	Five Stars	Great price,swift service	2015-08-31
US	50797935	R3PQSS2ZO7X5LO	B003DZ02MA	423147438	G & F CUTShield Classic Kitchen Cut Resistant Gloves	Tools	5	0	0	N	N	Great gloves	While I did receive these gloves for free, I would not hesitate to pay full price for them. They are comfortable to use and truly functional. Most importantly the gloves keep me from slicing precious skin off my fingers. I highly recommend this product.	2015-08-31
US	8759894	R3C9MQI1BLUL65	B0051OEV2I	508077349	Hex Ball Adaptor for Skyllight and Awning Window Operators, Bronze	Tools	4	1	1	N	Y	Four Stars	Works as expected. Some times the locking screw backs off and the adaptor comes off with the pole.	2015-08-31
US	46599773	R2GKCC3WR0I8QI	B003AOFEVI	608305543	Crews Klondike Safety Glasses	Tools	5	0	0	N	Y	180 degree protection for really low money	Just be careful when buying them as some vendors advertise box of 12 but only ship one  Ask first before ordering.<br /><br />Remember one thing about less than 180 degree vision: anything you see wearing safety or any other glass's is that anything you see is either a threat or an opportunity  Other products that block side vision are for my world 'dangerous' .<br /><br />180 degree vision is important.  Looking cool is not why I buy them  Any time I am out mowing changing the shape of something these are what I wear to protect my eyes from the bright sun light.<br /><br />Unfortunately I learned too late how important that protection is.<br />Never go outside without them is the new rule.<br />These are so light, you know they are there but hardly feel them<br /><br />These allow almost no unfiltered light  getting to your eyes.	2015-08-31
US	52253312	R17KA7579R040E	B00495ZF3O	655034668	CLC Custom Leathercraft 125 Handyman Flex Grip Work Gloves	Tools	5	1	1	N	Y	Better than the typical light duty glove.	It is very difficult to find decent gloves to fit a woman's hand. All women's gloves I have seen are worthy only of potting plants, not real work. I'd been using a very similar looking, small, men's leather gloves from a big-box store, but the fingers would wear out very quickly.  These have been great so far. I love the extra piece of leather on the first two fingers and the thumb, which is where the others always wore out. There is a little extra padding on the palm and knuckles. The padding may make them a little warmer than typical light-duty gloves. The side of the forefinger is reinforced as well. The construction overall is very good.  The small size fits my hands (which are med/large women's size) well, although it is a tad bit bigger than my usual brand. I am very happy so far and will follow up in time when they are used more.  Update: 5 Months later and they are holding up great. I have been doing a lot of shoveling and working with chicken wire, cement blocks and gravel. They have been used in both wet and dry situations.	2015-08-31
US	15775397	R2MJEBQ99OQ4SN	B00NU1JJ4Y	476093522	Snug Kids Earmuffs / Best Hearing Protectors – Adjustable Headband Ear Defenders For Children and Adults	Tools	4	0	0	N	Y	festivals and they love them! they're stylish and protect their little ears	perrfect! got these for my 2 young grandsons (3.5 years old and 1.5 years old) who go everywhere with my daughter, canalside  concerts, festivals and they love them! they're stylish and protect their little ears  :)	2015-08-31
US	25626103	R1VTPNCFAVPA26	B000642GAW	451747613	12-Volt Inflator, Portable Compressor for Tire Inflation, 120 PSI with Nozzles and Needles (Campbell Hausfeld RP1200)	Tools	5	0	0	N	Y	great!!	2nd one I have owned. great!!	2015-08-31
US	364893	RZERZJ3D95994	B0049X8D94	998520152	Seville Classics Heavy Duty Commercial Workbench UHD20206	Tools	5	0	0	N	Y	Five Stars	excellent experience and nice work bench!	2015-08-31
US	546746	R1W9J5OC6TZ352	B00BD5G9TW	133249693	Bosch 1297D 1/4-Sheet Orbital Finishing Sander with SheetLoc Paper Attachment System	Tools	5	1	1	N	Y	This is the best.	I have four other brands, This is the best.	2015-08-31
US	17692623	R3D8NX8C42Q8WI	B000JNNWQ2	484754758	IRWIN Tools VISE-GRIP Multi Tool Stripper	Tools	5	0	1	N	N	Five Stars	These are great! I bought two; one for my toolbox and one to keep in my truck.	2015-08-31
US	46939536	RKJ3DL93Z9I63	B000S76N4M	876357523	Rhino	Tools	5	0	0	N	Y	Amazing product Make sure you don't get it on your ...	Amazing product<br />Make sure you don't get it on your finger LOL	2015-08-31
US	45732437	R380QVAIDUC84N	B003WE9ZG6	55840696	ArcOne G-FLY-A1101 The Fly Safety Goggles	Tools	1	1	1	N	Y	No Way.	Uncomfortable around nose bridge. Cheap foam coverings. Wide vents that can let all sorts of dust in. I have no clue why this is rated so highly.	2015-08-31
US	44433356	R3C2GQ8I3JIIMD	B007VMKI6G	501904520	Rockwell RK9034 JawStand XP Work Support Stand	Tools	3	0	0	N	Y	Just ok! All most sent it back!	Just ok !<br /><br />All most sent it back!	2015-08-31
US	13548431	RRSWSWBZK5E53	B002Z32OSG	311114396	Stud Lever Stud Nail Puller	Tools	4	0	0	N	Y	Very useful	Exerts more force than I thought it would. Very controlled pull. Very useful	2015-08-31
US	23766818	R3FVJ6T7AJM9A3	B0007ZKHK6	732920944	Makita 443060-3 Cloth Filter for BCL180ZW, BCL180 and LC01Z Vacuum	Tools	4	0	0	N	Y	Four Stars	Product is good, but expensive.	2015-08-31
US	50823959	RIOALZ33FUIIJ	B00UTGOLP0	288965232	Stanley Lever Lock Tape Rule	Tools	1	1	2	N	Y	Five Stars	very nice tape!! This was my comment right after I got the tape. After about 3 months of daily use it started to retract all of the time. I contacted Amazon to see if I could make an adjustment to fix it. They said that was not possible but would send me a new one. I thought that was great until the replacement had the same issues within a few months. Bottom line it appears these are not make very durable.	2015-08-31
US	25755311	RX12UO2SK6QBM	B0012XT8B6	557400413	SureFire EarPro EP3 Sonic Defenders Earplugs Hearing Protection - Medium	Tools	5	0	0	N	Y	Five Stars	Good product easy transaction	2015-08-31
US	50954363	RQFE4YRO59HPJ	B00LIB54BA	890347712	TEMCo 1 Gauge AWG Welding Lead & Car Battery Cable Copper Wire BLACK | MADE IN USA	Tools	5	0	0	N	Y	Ok cable	Seems fine	2015-08-31
